      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    731.63166238       0.56474047
    731.75369558      -0.53353640
    731.87574914      -0.04413405
    731.99782305       0.42388199
    732.11991733      -0.93328759
    732.24203197      -0.37760850
    732.36416698      -0.15491177
    732.48632236      -0.39916333
    732.60849812      -0.00717326
    732.73069426      -0.74928723
    732.85291077      -0.36368677
    732.97514768       0.36918792
    733.09740497       0.02404603
    733.21968265       0.47280593
    733.34198073       0.17787174
    733.46429920       0.22473015
    733.58663808      -0.01538038
    733.70899737       0.07236498
    733.83137706       0.07377737
    733.95377717       0.05136587
    734.07619769       0.23725100
    734.19863863       0.02846759
    734.32110000       0.43882519
    734.44358179       0.28848460
    734.56608401       0.02236338
    734.68860666       0.07052416
    734.81114975       0.71535155
    734.93371328       0.35177530
    735.05629725      -0.02126398
    735.17890167      -0.11592087
    735.30152654       0.01585040
    735.42417186       0.02050091
    735.54683764       0.01436349
    735.66952387      -0.03320367
    735.79223058      -0.58986866
    735.91495774       0.01069992
    736.03770538       0.01375652
    736.16047350      -0.02991771
    736.28326209      -0.24356687
    736.40607116      -0.03371748
    736.52890071      -0.09004427
    736.65175076      -0.21812696
    736.77462129       0.17889606
    736.89751232       0.10587254
    737.02042384       0.01069333
    737.14335587       0.02712752
    737.26630840       0.00170032
    737.38928144       0.18895226
    737.51227499      -0.01099609
    737.63528905       0.02298063
    737.75832364       0.25785537
    737.88137874       0.00545991
    738.00445437       0.01126295
    738.12755053       0.01472497
    738.25066722       0.19151912
    738.37380445       0.02146163
    738.49696221       0.01986313
    738.62014052       0.08423964
    738.74333937       0.02292668
    738.86655878      -0.02348695
    738.98979873      -0.00673931
    739.11305924       0.00946671
    739.23634031       0.01305394
    739.35964194       0.01011010
    739.48296414      -0.05808917
    739.60630691      -0.00596941
    739.72967025       0.04423302
    739.85305417       0.11802446
    739.97645867       0.00145955
    740.09988375       0.03657974
    740.22332942      -0.00858475
    740.34679567       0.05586414
    740.47028253       0.01241906
    740.59378998       0.00658259
    740.71731803      -0.00467804
    740.84086668      -0.00103259
    740.96443594       0.00196013
    741.08802581       0.00032427
    741.21163630      -0.02085225
    741.33526740       0.00819755
    741.45891913       0.04086432
    741.58259148       0.00824120
    741.70628445      -0.00164798
    741.82999806       0.04900762
    741.95373231      -0.03214481
    742.07748719       0.01071001
    742.20126271       0.00120784
    742.32505888       0.00627986
    742.44887570      -0.02104659
    742.57271317      -0.01805797
    742.69657130      -0.00018269
    742.82045008       0.01238754
    742.94434953       0.00239870
    743.06826964      -0.01059483
    743.19221043      -0.01082500
    743.31617188       0.00449010
    743.44015401       0.00560030
    743.56415683       0.08483493
    743.68818032       0.03695402
    743.81222450       0.06236815
    743.93628937       0.01190903
    744.06037494       0.00424964
