      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    752.73257555      -0.02061771
    752.85812830      -0.02774114
    752.98370199       0.00183717
    753.10929663      -0.01508555
    753.23491221      -0.03523947
    753.36054875      -0.01864921
    753.48620624      -0.00930032
    753.61188470       0.01088628
    753.73758411       0.03857205
    753.86330449       0.05223578
    753.98904584      -0.01814140
    754.11480817       0.02039012
    754.24059147       0.00020430
    754.36639575       0.00277031
    754.49222101       0.02132255
    754.61806727      -0.02533176
    754.74393451      -0.02105030
    754.86982274       0.00838251
    754.99573198       0.01086662
    755.12166221       0.02376320
    755.24761345       0.03809070
    755.37358570       0.02242186
    755.49957896      -0.02834956
    755.62559324       0.01951716
    755.75162853       0.01528147
    755.87768485       0.03141496
    756.00376219       0.05304310
    756.12986056       0.02104933
    756.25597996       0.02709390
    756.38212040      -0.00225426
    756.50828188       0.00907079
    756.63446440       0.01720629
    756.76066797       0.01229522
    756.88689259       0.02877455
    757.01313826      -0.00781996
    757.13940499       0.01192933
    757.26569279      -0.02193901
    757.39200164       0.00827213
    757.51833156      -0.01970217
    757.64468256       0.02499280
    757.77105463      -0.00235147
    757.89744778      -0.00013407
    758.02386201       0.00251746
    758.15029732       0.02710255
    758.27675373       0.01839670
    758.40323122       0.01418551
    758.52972981      -0.01170041
    758.65624951       0.02151615
    758.78279030       0.02521749
    758.90935220      -0.00154291
    759.03593521      -0.01417266
    759.16253934      -0.00172793
    759.28916458      -0.01560332
    759.41581094      -0.00205220
    759.54247843       0.01435509
    759.66916704       0.00612061
    759.79587679       0.02226723
    759.92260767       0.02019313
    760.04935969       0.01447984
    760.17613285       0.01840341
    760.30292715       0.02449575
    760.42974261       0.01324889
    760.55657921       0.00603933
    760.68343697       0.00252351
    760.81031590       0.01730637
    760.93721598       0.00147844
    761.06413723       0.00874276
    761.19107965       0.00565419
    761.31804325      -0.01570394
    761.44502802       0.02302464
    761.57203397      -0.01231068
    761.69906110       0.02301721
    761.82610943       0.01772411
    761.95317894       0.00086276
    762.08026965      -0.01111426
    762.20738156       0.00500966
    762.33451467       0.02582615
    762.46166898       0.01979800
    762.58884451      -0.00204561
    762.71604124      -0.02052658
    762.84325919      -0.00113088
    762.97049837       0.00046740
    763.09775876       0.00624617
    763.22504038       0.00524176
    763.35234323       0.02544433
    763.47966731       0.01322747
    763.60701264       0.01570112
    763.73437920       0.00080923
    763.86176700       0.00397345
    763.98917606      -0.00492105
    764.11660636       0.01492482
    764.24405792       0.01128172
    764.37153074       0.00113611
    764.49902482      -0.01108040
    764.62654017       0.01215557
    764.75407678       0.00340045
    764.88163467      -0.00867484
    765.00921384       0.00436397
    765.13681428       0.00396204
    765.26443601      -0.00272735
    765.39207902       0.01505569
    765.51974332      -0.00113969
    765.64742892      -0.00978478
    765.77513582       0.01801079
    765.90286401       0.01481158
    766.03061351       0.00105578
    766.15838432      -0.00012099
    766.28617644       0.01706756
    766.41398988      -0.00766212
    766.54182463       0.00653387
    766.66968071       0.03151507
    766.79755811       0.01761979
    766.92545685       0.00479458
    767.05337691       0.00688511
    767.18131831       0.02548268
    767.30928105      -0.00473289
    767.43726514      -0.00516210
    767.56527057       0.00185831
    767.69329736      -0.00360661
    767.82134549      -0.00883810
    767.94941499      -0.02505777
    768.07750585      -0.01902527
    768.20561807      -0.03491734
    768.33375166      -0.00040613
    768.46190662       0.00100794
    768.59008296      -0.00087637
    768.71828068       0.01122954
    768.84649978      -0.00015894
    768.97474027       0.00626040
    769.10300215       0.01291708
    769.23128542      -0.01102305
    769.35959008      -0.00043407
