      Wavelength  Normalized Flux
      [Angstrom]              [ ]
    814.64371638       0.00349724
    814.77959566       0.00129165
    814.91549760       0.00310019
    815.05142221       0.00060987
    815.18736949      -0.00133161
    815.32333945       0.00920258
    815.45933208       0.00621830
    815.59534740       0.00506814
    815.73138541       0.00445298
    815.86744610       0.00316775
    816.00352950       0.01422642
    816.13963558       0.00609247
    816.27576438      -0.00401294
    816.41191587       0.00058471
    816.54809008       0.00334176
    816.68428700       0.00209387
    816.82050664       0.00016524
    816.95674899       0.00403539
    817.09301408      -0.00649595
    817.22930189      -0.00475055
    817.36561243       0.00448040
    817.50194571       0.00221816
    817.63830173      -0.00014026
    817.77468049       0.00739261
    817.91108200       0.00650959
    818.04750626      -0.00173112
    818.18395328      -0.00126109
    818.32042305      -0.00420447
    818.45691559       0.00447403
    818.59343090       0.00096075
    818.72996897       0.00169592
    818.86652982       0.00462886
    819.00311344       0.00481526
    819.13971985       0.00138629
    819.27634904      -0.00984128
    819.41300103      -0.00657487
    819.54967580      -0.00429308
    819.68637337       0.00304497
    819.82309375       0.00639097
    819.95983692       0.00354542
    820.09660291       0.00888353
    820.23339171       0.00293542
    820.37020332      -0.00109793
    820.50703775      -0.00009715
    820.64389501       0.00337662
    820.78077509       0.00203480
    820.91767801       0.00118777
    821.05460376       0.00251593
    821.19155234       0.00289734
    821.32852377       0.00496174
    821.46551805      -0.00233271
    821.60253518       0.00116728
    821.73957516       0.00157834
    821.87663800       0.01565103
    822.01372370       0.00281409
    822.15083226       0.00526827
    822.28796370       0.00842245
    822.42511800       0.00497716
    822.56229519       0.00749556
    822.69949525       0.00261123
    822.83671820       0.00777366
    822.97396404       0.00411850
    823.11123277       0.00602583
    823.24852439       0.00391622
    823.38583892       0.00269627
    823.52317635      -0.00136517
    823.66053668      -0.00319481
    823.79791993      -0.00226298
    823.93532609      -0.00236425
    824.07275517       0.00286328
    824.21020718       0.00485808
    824.34768211       0.01354031
    824.48517997       0.00711341
    824.62270076       0.00360775
    824.76024449       0.00251827
    824.89781117      -0.00712240
    825.03540079      -0.00276134
    825.17301336      -0.00012631
    825.31064888      -0.00011143
    825.44830736       0.00707885
    825.58598880       0.00421983
    825.72369320       0.00345477
    825.86142057       0.00473469
    825.99917092       0.00489960
    826.13694424       0.00313644
    826.27474054      -0.00084254
    826.41255983       0.01091341
    826.55040210       0.00106697
    826.68826737      -0.00255885
    826.82615563       0.00493099
    826.96406689       0.00232397
    827.10200115      -0.01051266
    827.23995842      -0.00831964
    827.37793870      -0.00087152
    827.51594199       0.00554536
    827.65396831       0.00523337
    827.79201764       0.00924105
    827.93009000      -0.00505557
    828.06818540       0.00290346
    828.20630382      -0.00106614
    828.34444528       0.00038912
    828.48260979      -0.00471781
    828.62079734      -0.00501819
    828.75900793       0.00107423
    828.89724159       0.00456627
    829.03549829       0.00721836
    829.17377806       0.00817183
    829.31208090       0.00577236
    829.45040680      -0.00538751
    829.58875577      -0.00430240
    829.72712782      -0.00073377
    829.86552295      -0.00333295
    830.00394117      -0.00289918
    830.14238247       0.00416060
    830.28084686      -0.00001302
    830.41933435      -0.00062117
    830.55784494       0.00842518
    830.69637863       0.00095948
    830.83493542       0.00030079
    830.97351533       0.00197555
    831.11211835       0.00262820
    831.25074449       0.00112478
    831.38939376      -0.00085388
    831.52806615      -0.00136300
    831.66676166       0.00110003
    831.80548032       0.00061820
    831.94422211      -0.00270028
    832.08298704       0.00095015
    832.22177512       0.00115494
    832.36058635       0.00312972
    832.49942073       0.00074545
    832.63827826       0.00151925
    832.77715896       0.00282039
    832.91606282       0.00268684
    833.05498985       0.00229786
    833.19394006       0.00779370
    833.33291344       0.00427385
    833.47191000       0.00012688
    833.61092974       0.00214545
    833.74997268       0.00152140
    833.88903880       0.00754960
    834.02812812       0.00963533
    834.16724064       0.00977674
    834.30637636       0.00749154
    834.44553529       0.00373771
    834.58471743       0.00703080
    834.72392279       0.01253053
    834.86315136       0.01029027
    835.00240316       0.00120498
    835.14167819      -0.00025324
    835.28097644       0.00156351
    835.42029793       0.00363955
    835.55964266       0.00316038
    835.69901063      -0.00553506
    835.83840184      -0.00339859
    835.97781631       0.00115319
    836.11725403       0.00632161
    836.25671501       0.00264260
    836.39619925       0.01213857
    836.53570675       0.00352759
    836.67523752       0.00423578
    836.81479157       0.00700093
    836.95436889       0.00910845
    837.09396950       0.00297387
    837.23359339      -0.00111208
    837.37324057      -0.00002862
    837.51291104       0.00549061
    837.65260480       0.00153154
    837.79232187      -0.00118110
    837.93206224       0.00352005
    838.07182592       0.00297263
    838.21161291      -0.00185002
    838.35142322       0.00358335
    838.49125685       0.00349817
    838.63111380      -0.00234678
    838.77099408      -0.00065677
    838.91089769      -0.00032100
    839.05082463       0.00235255
    839.19077492       0.00655332
    839.33074855       0.00187858
    839.47074552       0.00439017
    839.61076585       0.00806189
    839.75080953       0.00985254
    839.89087657       0.00140373
    840.03096697       0.00078222
    840.17108074       0.00410839
    840.31121788       0.00501960
    840.45137839       0.00424571
    840.59156228      -0.00091535
    840.73176956       0.00216766
    840.87200022       0.00200531
    841.01225427       0.00212220
    841.15253171       0.00604533
    841.29283255       0.00380426
    841.43315679      -0.00121807
    841.57350444       0.00368533
    841.71387550       0.00665465
    841.85426997       0.00298398
    841.99468786      -0.00099878
    842.13512917       0.00501183
    842.27559390       0.00106639
    842.41608207      -0.00144024
    842.55659366       0.00076886
    842.69712869       0.00315404
    842.83768717       0.00289443
    842.97826909      -0.00653891
    843.11887445       0.00281865
    843.25950327       0.00288099
    843.40015555       0.00405581
    843.54083128       0.00320464
    843.68153048       0.00677069
    843.82225315      -0.00136795
    843.96299929      -0.00121602
    844.10376891       0.00156931
    844.24456200       0.00521079
    844.38537858       0.00605550
    844.52621865       0.00360279
    844.66708221      -0.00046815
    844.80796926      -0.00357458
    844.94887981       0.00073109
    845.08981387       0.00697984
    845.23077143       0.00177396
    845.37175251       0.00329495
    845.51275710       0.00283634
    845.65378521       0.00514592
    845.79483684       0.00280422
    845.93591200       0.00257318
    846.07701069       0.00658053
    846.21813291       0.00467059
    846.35927868       0.00207237
    846.50044798       0.00009749
    846.64164083       0.00411383
    846.78285724       0.00223433
    846.92409719      -0.00128927
    847.06536071      -0.00133542
    847.20664778      -0.00112252
    847.34795843       0.00188194
    847.48929264       0.00891201
    847.63065043       0.00107298
    847.77203179       0.00085141
    847.91343674       0.00342012
    848.05486527       0.00302937
    848.19631739       0.00870605
    848.33779311       0.00305594
    848.47929242       0.00136451
    848.62081534       0.00118076
    848.76236186       0.00104467
    848.90393199       0.00689807
    849.04552573      -0.00032514
    849.18714309       0.00819132
    849.32878408       0.00783705
    849.47044868       0.00059386
    849.61213692       0.00169155
    849.75384879      -0.00298116
    849.89558429       0.00240376
    850.03734344       0.00622199
    850.17912623       0.00502532
    850.32093267      -0.00604285
    850.46276277       0.00045726
    850.60461652       0.00159197
    850.74649393       0.00131063
    850.88839500      -0.00645974
    851.03031975      -0.00399790
    851.17226816       0.00681550
    851.31424025       0.00848538
    851.45623603       0.00386495
    851.59825548       0.00221738
    851.74029863       0.00246875
    851.88236547       0.00151898
    852.02445600       0.00086566
    852.16657024       0.00203122
    852.30870817       0.00485427
    852.45086982      -0.00068977
    852.59305518       0.00309426
    852.73526425      -0.00036225
    852.87749705      -0.00126675
    853.01975357       0.00384681
    853.16203381       0.00232271
    853.30433779       0.00300677
    853.44666550       0.00485175
    853.58901695       0.00328854
    853.73139215       0.00081975
    853.87379109       0.00251402
    854.01621379       0.00352142
    854.15866024       0.00884274
    854.30113045      -0.00012434
    854.44362443      -0.00187684
    854.58614217       0.00373201
    854.72868368       0.00204016
    854.87124897       0.00341158
    855.01383804       0.00622207
    855.15645089       0.00357144
    855.29908753      -0.00020543
    855.44174796       0.00581650
    855.58443218       0.00905181
    855.72714020       0.00519408
    855.86987203       0.00161613
    856.01262767      -0.00019741
    856.15540711       0.00319590
    856.29821037       0.00307186
    856.44103745       0.00421043
    856.58388835       0.00157328
    856.72676308       0.00206821
    856.86966164       0.00223117
    857.01258403       0.00256921
    857.15553027       0.00045384
    857.29850035       0.00356030
    857.44149427       0.00213780
    857.58451204       0.00194703
    857.72755367       0.00153096
    857.87061916       0.00177384
    858.01370851       0.00435906
    858.15682173       0.00263416
    858.29995881       0.00267819
    858.44311978       0.00341603
    858.58630462      -0.00120098
    858.72951334      -0.00125279
    858.87274595       0.00325510
    859.01600245       0.00612659
    859.15928285       0.01056998
    859.30258714       0.00220205
    859.44591534       0.00254934
    859.58926745       0.00316192
    859.73264346       0.00409021
    859.87604339       0.00236343
